franchisee_name,name_variants,first_name,total_units,brands_operated,brand_count,is_multi_brand,primary_state,all_states,tier,instantly_sequence,messaging_note,apollo_search_hint,apollo_company,apollo_email,apollo_linkedin,apollo_title,restaurant_phone,sample_address
"Sunshine Restaurant Merger Sub, Llc",,Sunshine,147,IHOP,1,No,FL,FL | GA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Sunshine Restaurant Merger Sub, Llc IHOP franchisee FL",,,,,321-312-0022,2447 N. Wickham Road #144
"Ratterman, Mark B.",,"Ratterman,",146,Domino's,1,No,IL,IL | KY | MO,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Ratterman, Mark B. Domino's franchisee IL",,,,,(815) 317-3232,801 South Ridge Road
"Fritz Management, Llc",,Fritz,137,Burger King,1,No,TX,TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Fritz Management, Llc Burger King franchisee TX",,,,,(956) 781-7448,446 East Frontage Rd
"Sailormen, Inc.",,"Sailormen,",137,Popeyes,1,No,FL,FL | GA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Sailormen, Inc. Popeyes franchisee FL",,,,,(1386) 418-8002,15655 NW US Hwy 441 Alachua
"Tri City Foods Of Illinois, Llc",,Tri,134,Burger King,1,No,IL,IL,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Tri City Foods Of Illinois, Llc Burger King franchisee IL",,,,,(630) 543-5005,440 West Lake St
"Houston Foods, Inc.",,Houston,132,Burger King,1,No,TX,TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Houston Foods, Inc. Burger King franchisee TX",,,,,(281) 824-4314,1601 E Hwy 6
"Cinemark Usa, Inc.",,Cinemark,131,Pizza Hut,1,No,TX,AL | AR | AZ | CA | CO | CT | DE | FL | ID | IL | IN | KY | LA | MA | MD | MI | MS | NH | NJ | NM | NV | NY | OH | OK | PA | TX | UT | WA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Cinemark Usa, Inc. Pizza Hut franchisee TX",,,,,972/665-1511,370 The Bridge Street
"Sfr X Holdings, Llc",,Sfr,124,Pizza Hut,1,No,OH,IN | MI | OH | PA | WV,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Sfr X Holdings, Llc Pizza Hut franchisee OH",,,,,765/962-0586,3250 E Main Street
Rmh Franchise Corporation,,Rmh,120,Applebee's,1,No,OH,AL | AZ | FL | IN | KS | KY | MO | MS | NE | OH | OK | PA | TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Rmh Franchise Corporation Applebee's franchisee OH,,,,,(251) 943-6006,2409 S. McKenzie Street
"Hosseini, Dariush",,"Hosseini,",116,Domino's,1,No,CA,AZ | CA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Hosseini, Dariush Domino's franchisee CA",,,,,(480) 835-6400,318 E Brown Rd
"Murph, Alan D.",,"Murph,",114,Domino's,1,No,TX,KY | TN | TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Murph, Alan D. Domino's franchisee TX",,,,,(270) 697-1122,4190 Morgan Rd.
"Js Fort Group, Inc.",,Js,113,Jimmy John's,1,No,IL,IL,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Js Fort Group, Inc. Jimmy John's franchisee IL",,,,,630-773-1900,1450 W Lake St
"Chaac Pizza Northeast, Llc",,Chaac,113,Pizza Hut,1,No,MD,DC | MD | NJ | NY | PA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Chaac Pizza Northeast, Llc Pizza Hut franchisee MD",,,,,202/396-3300,1501 A&B Maryland Ave NE
"Gmrg Acq 1, Llc",,Gmrg,112,Pizza Hut,1,No,CO,CO | KS | MO | NE | OK | TX | UT | WY,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Gmrg Acq 1, Llc Pizza Hut franchisee CO",,,,,719/589-3693,814 Main St
"Mueller, Glenn A.",,"Mueller,",110,Domino's,1,No,LA,AL | LA | MS,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Mueller, Glenn A. Domino's franchisee LA",,,,,(251) 675-3030,924 Saraland Blvd S
"Mitra Qsr Kne, Llc",,Mitra,109,KFC,1,No,MD,DE | MD | NJ | OH | OK | PA | VA | WV,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Mitra Qsr Kne, Llc KFC franchisee MD",,,,,214/440-4144,220 Fox Hunt Dr.
"Boj Of Wnc, Llc",,Boj,105,Bojangles,1,No,SC,GA | KY | NC | OH | SC | TN,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Boj Of Wnc, Llc Bojangles franchisee SC",,,,,706-364-4754,3360 Wrightsboro Road
"Gps Hospitality Ventures, Llc","Gps Hospitality Ventures, Llc / Gps Hospitality, Llc",Gps,105,Burger King | Popeyes,2,Yes,GA,GA | WV,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Gps Hospitality Ventures, Llc Burger King franchisee GA",,,,,(770) 246-2247,3630 Cobb Parkway Nw
"Cunningham, Alan",,"Cunningham,",102,Domino's,1,No,TX,TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Cunningham, Alan Domino's franchisee TX",,,,,(512) 929-3300,720 S. Bastrop Hwy. Suite 101
Ampler Burgers Ohio Llc,,Ampler,101,Burger King,1,No,OH,AR | KY | OH | TN | VA | WV,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Ampler Burgers Ohio Llc Burger King franchisee OH,,,,,(501) 327-7794,102 Oak St
Fresh Dining Concepts Llc,,Fresh,101,Jamba,1,No,CALIFORNIA,CALIFORNIA | FLORIDA | HAWAII | ILLINOIS | MASSACHUSETTS | MINNESOTA | NEW YORK | TEXAS,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Fresh Dining Concepts Llc Jamba franchisee CALIFORNIA,,,,,760-304-8750,2154 Grass Valley Hwy.
"Hishmeh, Tareq M.",,"Hishmeh,",96,Domino's,1,No,CA,AZ | CA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Hishmeh, Tareq M. Domino's franchisee CA",,,,,(602) 996-3030,13843 N Tatum Blvd Ste 7
Michael L Retzer,,Michael,96,McDonald's,1,No,AR,AR | LA | MS | OK | TN | TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Michael L Retzer McDonald's franchisee AR,,,,,870-898-2357,1260 CONSTITUTION AVE
"Rackson Restaurants, Llc",,Rackson,94,Burger King,1,No,CT,CT | DE | MD | NJ | NY | OH | PA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Rackson Restaurants, Llc Burger King franchisee CT",,,,,(203) 734-1870,20 Pershing Dr
"Patterson, G. Mack",,"Patterson,",93,Domino's,1,No,NC,NC | SC,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Patterson, G. Mack Domino's franchisee NC",,,,,(919) 603-0300,306 Granville Corners
"Pizza Hut Of Southeast Kansas, Inc.",,Pizza,90,Pizza Hut,1,No,KS,KS | KY | MO | OK | OR | TN | TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Pizza Hut Of Southeast Kansas, Inc. Pizza Hut franchisee KS",,,,,316/733-0055,307 N Andover Rd
"Hamill, Brent",,"Hamill,",89,Domino's,1,No,CO,CA | CO | TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Hamill, Brent Domino's franchisee CO",,,,,(213) 385-3888,4257 W. 3rd St.
"Farmer, Patrick D.",,"Farmer,",89,Domino's,1,No,WA,ID | OR | WA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Farmer, Patrick D. Domino's franchisee WA",,,,,(208) 452-6755,1700 N. Whitley Dr.
Hut Georgia Llc,,Hut,89,Pizza Hut,1,No,GA,GA | SC,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Hut Georgia Llc Pizza Hut franchisee GA,,,,,229/435-5991,711 N Westover Blvd Suite B
"Cfl Pizza, Llc",,Cfl,88,Pizza Hut,1,No,FL,FL,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Cfl Pizza, Llc Pizza Hut franchisee FL",,,,,407/831-2200,600 E Altamonte Dr
"Tasty Chick'N Midwest, Llc","Qsr Midwest, Llc / Tasty Chick'N Midwest, Llc",Tasty,87,KFC,1,No,TN,AR | IL | IN | KY | MO | TN,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Tasty Chick'N Midwest, Llc KFC franchisee TN",,,,,310/943-4997,3021 DR MARTIN LUTHER KING JR DR
"Patibandla Rao, Malli",,Patibandla,86,Domino's,1,No,CA,CA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Patibandla Rao, Malli Domino's franchisee CA",,,,,(424) 426-3100,8307 S. La Cienega Blvd. Suite B
"Srg Plk Opco, Llc.",,Srg,86,Popeyes,1,No,LA,LA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Srg Plk Opco, Llc. Popeyes franchisee LA",,,,,(337) 893-4284,501 Veterans Memorial Dr
"Ampex Brands Ph Of Dallas, Inc.","Ampex Brands Of Cleburne, Inc. / Ampex Brands Ph Of Dallas, Inc. / Ampex Brands, Llc",Ampex,85,KFC | Pizza Hut,2,Yes,TX,TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Ampex Brands Ph Of Dallas, Inc. KFC franchisee TX",,,,,469/917-3800,700 W. Abram Street
"California Food Management, Llc",,California,83,Burger King,1,No,CA,CA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","California Food Management, Llc Burger King franchisee CA",,,,,(818) 889-2739,29136 Rdside Dr
"Hot Pizzas, L.L.C.",,Hot,83,Pizza Hut,1,No,AZ,AZ,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Hot Pizzas, L.L.C. Pizza Hut franchisee AZ",,,,,480/982-1155,240 S Phelps Drive
"Jrn, Inc.",,"Jrn,",82,KFC,1,No,TN,AL | FL | GA | KY | NC | SC | TN | VA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Jrn, Inc. KFC franchisee TN",,,,,931/490-4765,2460 South McKenzie Street
"Four Cousins Burgers And Fries Of Li, Llc (Bill Gellert)","Four Cousins Burgers & Fries Of Li, Llc (Bill Gellert) / Four Cousins Burgers & Fries Of Nh, Llc (Bill Gellert) / Four Cousins Burgers & Fries Of Nj, Llc (Bill Gellert) / Four Cousins Burgers & Fries Of Ny, Llc (Bill Gellert) / Four Cousins Burgers And Fries Of Li, Llc (Bill Gellert) / Four Cousins Burgers And Fries Of Ny, Llc (Bill Gellert) / Ghg Ar, Llc (Bill Gellert) / Ghg Gulf Coast, Llc (Bill Gellert) / Ghg Indiana, Llc (Bill Gellert) / Ghg Southwest, Llc (Bill Gellert) / Ghg Tennga, Llc (Bill Gellert)",Bill,79,Five Guys,1,No,NY,AL | AR | FL | GA | IN | LA | MS | NH | NJ | NY | TN,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Bill Gellert Five Guys franchisee NY,,,,,(914) 643-2180,6860 Highway 90 (out parcel)
Eduardo Diaz,,Eduardo,78,Pizza Hut,1,No,IL,GA | IL | SC | WI,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Eduardo Diaz Pizza Hut franchisee IL,,,,,214/819-3800,702A West 4th Street
Adiser Orlando Llc,,Adiser,77,Burger King,1,No,FL,FL,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Adiser Orlando Llc Burger King franchisee FL,,,,,(407) 788-2113,1190 Spring Centre S Blvd
Army Air Force Exchange Services,,Army,75,Burger King,1,No,TX,AK | AL | AR | AZ | CA | CO | DC | DE | FL | GA | HI | IL | KS | KY | LA | MD | MO | NC | ND | NE | NJ | NV | NY | OH | OK | SC | TX | UT | VA | WA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Army Air Force Exchange Services Burger King franchisee TX,,,,,(907) 753-4486,Jarred Fukuda
"Bravotampa, Llc",,"Bravotampa,",74,Burger King,1,No,FL,FL,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Bravotampa, Llc Burger King franchisee FL",,,,,(813) 641-3733,5024 N Us Hwy 41
"Qasim, S. Osman",,"Qasim,",74,Domino's,1,No,NC,NC | SC,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Qasim, S. Osman Domino's franchisee NC",,,,,(910) 424-4474,3441 N. Main St.
"American Pizza Partners, L.P.",,American,74,Pizza Hut,1,No,TX,CO | LA | OK | TX | WY,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","American Pizza Partners, L.P. Pizza Hut franchisee TX",,,,,303/772-6800,"4415 City Centre Rd, Suite 100"
"Mayhall, Dennis L.",,"Mayhall,",73,Domino's,1,No,TX,IN | TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Mayhall, Dennis L. Domino's franchisee TX",,,,,(260) 702-9600,1532 W. Cook Road
"Tands, Inc.",,"Tands,",72,Bojangles,1,No,NC,NC | VA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Tands, Inc. Bojangles franchisee NC",,,,,252-332-3488,1203 North Academy Street
"Tasty Chick'N Southeast, Llc",,Tasty,71,KFC,1,No,FL,AL | AR | FL | MS | VA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Tasty Chick'N Southeast, Llc KFC franchisee FL",,,,,310/943-4997,1501 South Gunter
Rbd California Restaurants Limited,,Rbd,71,KFC,1,No,CA,CA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Rbd California Restaurants Limited KFC franchisee CA,,,,,064/952-58710,14258 Highway 395
"Z & H Foods, Inc.",,Z,71,Popeyes,1,No,TX,TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Z & H Foods, Inc. Popeyes franchisee TX",,,,,(361) 664-4927,1180 E Main St
Hut Missouri Llc,,Hut,70,Pizza Hut,1,No,MO,MO,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Hut Missouri Llc Pizza Hut franchisee MO,,,,,314/638-4444,9245 Gravois Rd
"Arnold Family Of Restaurants, Llc",,Arnold,69,Pizza Hut,1,No,LA,AL | AR | GA | IN | KY | LA | MS | OH | TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Arnold Family Of Restaurants, Llc Pizza Hut franchisee LA",,,,,256/675-8004,4581 Hwy 280
"Continental Superior Management Groups, L.P.",,Continental,69,Popeyes,1,No,TX,KS | TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Continental Superior Management Groups, L.P. Popeyes franchisee TX",,,,,(913) 800-2169,10930 Parallel Pkwy
Schuster,,Schuster,68,Burger King,1,No,GA,AL | GA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Schuster Burger King franchisee GA,,,,,(256) 329-2317,4250 Highway 280
Fresh Dining Concepts Llc,,Fresh,68,Cinnabon,1,No,CALIFORNIA,CALIFORNIA | CONNECTICUT | DISTRICT OF COLUMBIA | FLORIDA | HAWAII | ILLINOIS | INDIANA | KANSAS | MARYLAND | MASSACHUSETTS | NEVADA | NEW JERSEY | NEW YORK | PENNSYLVANIA | TEXAS | WISCONSIN,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Fresh Dining Concepts Llc Cinnabon franchisee CALIFORNIA,,,,,(747) 226-3097,6600 Topanga Canyon Blvd.
"Quikserve Enterprises, Inc.",,Quikserve,67,Burger King,1,No,CA,CA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Quikserve Enterprises, Inc. Burger King franchisee CA",,,,,(661) 836-1847,2508 White Lane
"D.E. Foods, Inc.","D.E. Foods, Inc. / D.E. Foods, Llc",D.E.,67,KFC,1,No,CT,CT | FL | MA | NH | RI | VT,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","D.E. Foods, Inc. KFC franchisee CT",,,,,781/982-0755,1000 Blue Hills Avenue
Hut Nashville Llc,,Hut,67,Pizza Hut,1,No,TN,AL | KY | TN,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Hut Nashville Llc Pizza Hut franchisee TN,,,,,256/233-1223,229 French Farms Blvd Ste A
